fabric_id,name,features,applications,selling_points,category,suitable_brand_types,weight,composition
C23586,轻量摇粒,面料开发来源于抓绒面料品牌POLARTEC，此款面料被kolon，艾高等知名名牌使用；、研发中空纱线织造，使面料具有传统羊毛外观和双面绒质感的材质；、轻量化，180克的克重使成衣比一件T恤的重量还要轻，同时达到保暖舒适的效果，兼具快干和弹性功能。,T恤,功能面料,保暖类,"内衣家居,户外,运动休闲",180g/m²,100%聚酯纤维
TP25239,凉感克隆棉单面,原纱自带吸湿速干功能；、SORONA无氨弹，具有弹性和还原力。,服装,功能面料,凉感导湿类,运动休闲,160g/m²,100%聚酯纤维
B25386,舒弹棉,采用轻量柔软如棉感纱线细腻织造；、亲肤贴身无感，舒弹修身；、吸湿速干。,服装,功能面料,导湿速干类,"内衣家居,运动休闲",130g/m²,100%聚酯纤维
25319A,双面提花,迪桑特高端科技面料、吸湿速干、易去污；、柔软亲肤，轻量化，无氨弹力；,内搭、短裤、运动服,迪桑特高端科技面料,弹力亲肤类,"户外,运动休闲",170g/m²,100%聚酯纤维
Y35801,拉架双面,遮热、防透达到92%以上，达到日本标准；、高倍数防晒：UPF1700+；，全波段隔离、吸湿速干大幅优于国标；易去污；、透气、高弹，很好的垂感,防晒服、T恤,防透达到92%以上，达到日本标准；；高倍数防晒：UPF1700+；，全波段隔离,防晒防透类,"户外,运动休闲",220g/m²,83%涤纶+17%氨纶
35802,拉架双面,遮热、防透达到92%以上，达到日本标准；、高倍数防晒：UPF300+；，全波段隔离、吸湿速干大幅优于国标；易去污；、透气、高弹，很好的垂感,防晒服、T恤,防透达到92%以上，达到日本标准；；高倍数防晒：UPF300+；，全波段隔离,防晒防透类,"户外,运动休闲",160g/m²,88%涤+12%氨纶
TS25116,LULU横纹,Lulu同款横纹面料，纹路时尚；、布面干爽，挺括有型，耐磨、不易起皱和变形；、轻量保暖，可运动可生活穿着；,裤子、外套,功能面料,保暖类,"内衣家居,户外,时尚,运动休闲",190g/m²,100%聚酯纤维
23462,克隆棉,棉感、吸湿速干。、SORONA无氨弹，具有弹性和还原力。,POLO衫、POLO、T恤、夏裤,功能面料,弹力亲肤类,"户外,运动休闲",155g/m²,100%聚酯纤维
23517,克隆棉双面,棉感、吸湿速干。、SORONA无氨弹性，具有弹性和还原力。,裤子、运动套装、外套,功能面料,弹力亲肤类,"户外,运动休闲",260g/m²,100%聚酯纤维
TT2568,GOLF珠地,珠地纹吸湿速干呼吸面料，让穿着自信；、轻薄防晒。UPF45+、商务通勤和轻户外的POLO、高尔夫系列。,POLO、高尔夫,轻薄防晒。UPF45+,防晒类,"户外,运动休闲",145g/m²,100%聚酯纤维
TT25133,双面珠地,有50+的抗UV紫外线指数；、轻量松软，布面干净，珠地纹路清晰；、吸湿速干，易打理；、尺寸稳定性好，不易变形。,服装,有50+的抗UV紫外线指数；,防晒类,运动休闲,135g/m²,100%聚酯纤维
Y35706 / （原25290）,反包毛巾,轻量保暖，蓬松透气；、毛巾织造。穿着不压身；、速干贴身，无惧失温；、polartec科技高端面料。,秋冬保暖中间层,polartec科技高端面料。,保暖类,"内衣家居,户外,运动休闲",245g/m²,63.5%涤纶+30%锦纶+6.5%氨纶
C25430,仿棉提花,索罗纳纤维原材料，面料棉感，轻柔又有弹性，有组织感的提花织造。、无氨弹力、吸湿速干。、防晒：UPF300+,服装,防晒：UPF300+,防晒类,"户外,运动休闲",260g/m²,100%聚酯纤维
C25429,仿棉提花,索罗纳纤维原材料，面料棉感，轻柔又有弹性，有组织感的提花织造。、防晒：UPF300+,服装,防晒：UPF300+,防晒类,户外,210g/m²,100%聚酯纤维
35707,单向导湿,单向导湿、亲肤干燥、透气、锦纶柔软触感、很好的弹性、轻量保暖,打底,功能面料,保暖类,"内衣家居,户外,运动休闲",255g/m²,60%锦纶35%聚酯纤维5%氨纶
35806,羊毛提花双面,羊毛高级触感、网格提花纹路，透气性强、弹性无束缚,打底,功能面料,保暖类,"内衣家居,户外,运动休闲",245g/m²,12.2%羊毛84.5%涤纶3.3%氨纶
25340,涡流纺,棉麻手感、吸湿排汗、日韩潮牌风格,T恤,功能面料,弹力类,时尚,150g/m²,100%聚酯纤维
25407,涡流纺,棉麻手感、吸湿排汗、日韩潮牌风格,T恤,功能面料,导湿速干类,时尚,200g/m²,100%聚酯纤维
35705,大玉米粒,羊毛高级触感、网格提花纹路，透气性强、弹性无束缚,打底,功能面料,保暖类,"内衣家居,户外,运动休闲",230g/m²,94.3%聚酯纤维5.7%氨纶
